,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Malta,1.4943133943814047e-05,9.940341809359003e-05,0.003771851166536645,0.007509603627530073,0.020851884850273852,0.028315812095415237,0.0007113725146323016,0.00033454663129240243,5.175725162602411e-05,0.0021398617191733626,0.0007661264324396355,0.056674503683049174,0.02698284083753798,0.007097290087104341,0.00043901166935256865
Netherlands,0.09000318518172647,0.0025135209343584686,0.011627754420402103,0.004399059216008407,0.0982886148892532,0.0129933953909298,0.012086867179352222,0.038737202150153346,0.002248492583452803,0.005631596554932043,0.0179681615471895,0.0013254421480707417,0.020023355425216875,0.04501585388293541,0.019165534048263388
Austria,0.02334769102278548,0.0005849075745468867,0.054687124981917974,0.004119645355345778,0.027325606033140888,0.0358534270185508,0.0015253435588062638,0.0017601174269674918,0.015849544549844826,0.018303331757983713,0.07012982450850992,0.004096933507252995,0.0018593516704077954,0.00040909002097115344,0.017155067564411933
Poland,0.011171109682033376,0.01092549510247162,0.0034545569811278475,0.0011589168335067505,0.003181234382844782,0.020980877654786716,0.008353347361044731,0.027733897767817265,0.00045140895475450575,0.06264073486094625,0.0018714672680482213,4.6464220843419026e-05,5.93715121394063e-05,0.014215767007641482,0.041031611908071766
Portugal,0.006945933592168019,0.04125163945246798,0.0032912568198365517,0.03543260969497674,0.04531412312626032,0.0003483689740108157,0.019536784997608327,0.0015802601212756783,0.031592039648207164,0.0008829181423667813,0.10016250501395753,0.0023701155766475187,0.007433048074634825,0.0042252181978126154,0.00830923532594954
Romania,0.12181026903121751,0.000116982881540022,0.20165788714197563,0.005180655505809885,0.007354045061686121,0.015715515764154163,0.004996892381700075,0.00275612278372234,0.011459689863919166,0.007743251147822001,0.01001421059877063,0.026678734603817682,0.03145736560327701,0.006428312311398463,0.002293195364125125
Slovenia,0.00291110227827647,0.002101843525349519,0.0020913761819129875,0.0010131296042378488,0.011400461546785388,0.0006177566304737467,0.10761928784109424,0.04592617821305812,0.1374354577666802,0.10826061692073415,9.649594104249502e-05,0.08174615394589883,0.041394672026907255,0.000526948571309868,0.02519403272623159
Slovakia,0.0004915426103789206,0.005816385886262692,0.08319101995603279,0.0035995244105402535,0.04203564600486729,0.002481889022233689,0.011733598420537233,0.00282020807234759,0.08173275369737441,0.03903662166055978,0.017226820590300784,0.031876666638698925,0.18196919848870516,0.04049312205023356,0.028569771432529093
Finland,0.007446406541171871,0.004775627063555806,0.0001889300014628355,0.1565679959868423,0.0009393199962182451,0.047755420286867085,0.02357730277908211,0.0075281038316168175,0.002326286470696663,0.0001597166058290827,0.024699381772494877,0.0005200630130774992,0.013791047886405007,0.01085007677324185,0.00042290171388332945
Sweden,0.00024705030973549746,0.00018955674284757378,0.00038483207302543264,4.974323174158419e-05,0.004616054843541676,0.020430388381003976,6.65153540329752e-05,0.0033304675438401155,0.003439800526148211,0.01664207349476321,0.0015118436028253354,0.1488257033771909,0.05262739732609014,0.007937851755450368,0.00012563084252802822
Iceland,0.061379844229090375,0.0004372588842889328,0.061055440046295865,0.09083635891665454,0.01946862367886602,0.01739156034959832,0.0003982883972321891,0.16980636727054296,0.017393799442483256,3.707538103057702e-05,0.10929544609433604,0.013539241954005573,0.008201589159854694,0.04370353673393392,0.015686296442488375
Norway,0.06117158002290736,0.012481683592091578,0.014619838262159297,0.022224618638041045,0.0012974291259366978,0.10554774136507572,0.03642605426029397,0.015736869040347316,0.0004587632927957012,0.049036366148844025,0.00877333731035089,0.15594306761077506,0.029851870121757634,0.016864607593047365,0.04163810460158077
Switzerland,0.05085093042623159,0.004034077095048346,0.03791244617519026,0.002424807643632379,0.0039003869898447275,0.030114344354941,0.0555351006871724,0.19108899648326855,0.03223585498695925,0.0007025406075642784,0.0653234798300608,0.007019504741166428,0.10567950223359515,0.052701300471607,0.0270899236949706
United Kingdom,0.004634222963531118,0.0041103139622438315,6.175152084557274e-06,0.07198201094797284,0.003755208190127135,0.05484629828760219,0.022902191150228113,0.00029865630109360546,0.0035092668180074687,6.470253781510523e-05,0.019007897969928397,0.0005406366789128664,0.00976403667645398,0.017617892540985152,0.005599340762071788
Bosnia and Herzegovina,0.09642551003948299,0.06848194307099688,0.02016545338651948,0.007879162277407337,0.016767774488420064,0.21851699999909593,0.09900906063453498,0.002858439411159753,0.008002446495176757,0.02182192720185056,0.0013534922478249324,0.03571645957824777,0.006077106793301313,0.0066305556741526,0.0509477895090213
Montenegro,3.6147685429126874e-09,8.218002564244242e-10,4.93528601967038e-09,3.0890409463905228e-09,1.3554040974943508e-08,1.1260079352516576e-09,2.9360352993823028e-09,2.6934386401429495e-09,1.4039614902637492e-08,5.909740457355351e-09,1.1806747072910505e-08,8.293428467963696e-11,2.736929246469821e-08,8.659840550924813e-12,2.565562791832003e-09
North Macedonia,0.013444797817614864,0.5357967679800438,0.04597530529542412,0.0860141052269403,0.04186548208598167,0.06507401153988703,9.496602249695445e-06,0.0375129055443214,0.0009081881920956379,0.010602558381027216,0.03874162002992175,0.007171796800783993,0.00041304200179292526,1.1246447036750061e-06,0.0016465013960662682
Albania,0.18991301250042117,0.005207233846795704,0.0002413638278956816,0.007127940487841684,0.26450760626544545,0.005978217520854466,0.02179735063491646,0.0002753792521053906,6.493292603726803e-05,0.0008946798299947033,0.0018750042286205069,0.00031303489309557136,0.04281337161869594,0.009911008462153327,0.004429914925500713
Serbia,0.00026485637590963133,0.00011644913232576171,5.7754853537932576e-05,0.004761468933540016,0.0008894796517668901,0.010399492645509927,5.065109442322356e-08,0.00028128820775413023,0.0002811355251686695,0.14445375458983847,0.03481034077762835,0.0858583116451349,0.008508305115812607,0.09888617952317941,0.13939423981878568
Turkiye,0.0002137427174963817,6.215774097921949e-05,0.007881394774514616,0.009644333909245293,0.033175572883982235,0.023625415265361265,0.0034681375455578745,0.0027196744763358285,0.009546407631303907,0.006933720795002854,0.006353488286380568,0.0004432975805338583,0.0005377679011546949,0.00040380883122975025,0.0011462632803048466
